specialization,fees,avg_rate,waiting_time,clinic_location,rate_count
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Cardiologist,350 EGP,5,Waiting Time : 7 Minutes,West El-Balad : el tahreer street,From 289 Visitors
Pediatrician,200 EGP,5,Waiting Time : 14 Minutes,El-Badrashin,From 19 Visitors
Gastroenterologist,250 EGP,5,Waiting Time : 18 Minutes,Faisal : Elatabaa Building Fasil Elnadii St,From 437 Visitors
Andrologist,210 EGP,5,Waiting Time : 12 Minutes,El-Mansoura,From 234 Visitors
Orthopedist,155 EGP,5,Waiting Time : 17 Minutes,El-Zagazig,From 147 Visitors
ENT Doctor,320 EGP,5,Waiting Time : 11 Minutes,El-Mansoura : el mahta square,From 47 Visitors
ENT Doctor,170 EGP,5,Waiting Time : 8 Minutes,Faisal : khaled ibn waleed st,From 481 Visitors
Physiotherapist,300 EGP,5,Waiting Time : 6 Minutes,El-Rehab,From 30 Visitors
Urologist,120 EGP,4.5,Waiting Time : 21 Minutes,El-Zagazig : obour bridge next to sawaf restaurant,From 117 Visitors
Gynecologist,300 EGP,5,Waiting Time : 4 Minutes,Nasr City : mostafa elnahas,From 277 Visitors
ENT Doctor,300 EGP,5,Waiting Time : 6 Minutes,6th of October : Central Axis,From 821 Visitors
Dentist,150 EGP,5,Waiting Time : 9 Minutes,Imbaba,From 263 Visitors
Cardiologist,350 EGP,5,Waiting Time : 12 Minutes,El-Maadi,From 128 Visitors
Neurologist,250 EGP,4.5,Waiting Time : 17 Minutes,Shibin El-Kom,From 182 Visitors
Pediatrician,200 EGP,5,Waiting Time : 8 Minutes,El-Mansoura : 6 october street branched from ahmed maher street,From 152 Visitors
General Surgeon,300 EGP,4.5,Waiting Time : 4 Minutes,Nasr City,From 69 Visitors
Gynecologist,110 EGP,5,Waiting Time : 17 Minutes,Banha : 5 ibn Hagag street,From 16 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,6th of October,From 348 Visitors
Dentist,250 EGP,4.5,Waiting Time : 13 Minutes,Heliopolis : Al Hegaz - Heliopolis Square.,From 128 Visitors
Orthopedist,300 EGP,5,Waiting Time : 16 Minutes,El-Manyal : manyal street,From 158 Visitors
Pediatrician,250 EGP,4.5,Waiting Time : 13 Minutes,Nasr City,From 10 Visitors
Endocrinologist,300 EGP,4.5,Waiting Time : 22 Minutes,north teseen street,From 51 Visitors
Neurosurgeon,350 EGP,5,Waiting Time : 15 Minutes,"El-Maadi : Sakr Quraysh, Al Bahs Al Genaea",From 66 Visitors
Cardiologist,200 EGP,5,Waiting Time : 18 Minutes,Heliopolis,From 251 Visitors
Surgical Oncologist,300 EGP,5,Waiting Time : 19 Minutes,El-Giza : mourad,From 20 Visitors
ENT Doctor,400 EGP,4.5,Waiting Time : 1 Hour and 49 Minutes,6th of October,From 139 Visitors
Neurosurgeon,370 EGP,5,Waiting Time : 29 Minutes,6th of October,From 666 Visitors
Cardiologist,300 EGP,4.5,Waiting Time : 59 Minutes,Janaklees,From 164 Visitors
Dentist,100 EGP,4.5,Waiting Time : 1 Hour and 53 Minutes,El-Manyal : Almanial main Street,From 62 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
ENT Doctor,320 EGP,5,Waiting Time : 11 Minutes,El-Mansoura : el mahta square,From 47 Visitors
Ophthalmologist,150 EGP,5,Waiting Time : 19 Minutes,El-Fayoum city : elmsla next to misr for insurance building next to city tower,From 94 Visitors
General Surgeon,250 EGP,4.5,Waiting Time : 14 Minutes,Shibin El-Kom : sharaf square dewan tower,From 21 Visitors
Gynecologist,250 EGP,5,Waiting Time : 13 Minutes,El-Shorouk,From 13 Visitors
Physiotherapist,150 EGP,5,Waiting Time : 29 Minutes,Banha : behind mohafza,From 12 Visitors
Obesity Surgeon,250 EGP,5,Waiting Time : 16 Minutes,Shibin El-Kom,From 13 Visitors
Neurosurgeon,370 EGP,5,Waiting Time : 29 Minutes,6th of October,From 666 Visitors
General Surgeon,200 EGP,5,Waiting Time : 6 Minutes,El-Zagazig : tolba eweda street,From 55 Visitors
Rheumatologist,400 EGP,4,Waiting Time : 14 Minutes,El-Sayeda Zainab : Port Saeed Street,From 68 Visitors
Dermatologist,400 EGP,4.5,Waiting Time : 33 Minutes,West El-Balad : Mohamed farid - Abdein,From 128 Visitors
Neurosurgeon,350 EGP,5,Waiting Time : 15 Minutes,"El-Maadi : Sakr Quraysh, Al Bahs Al Genaea",From 66 Visitors
Cardiologist,300 EGP,4.5,Waiting Time : 59 Minutes,Janaklees,From 164 Visitors
Dentist,100 EGP,4.5,Waiting Time : 1 Hour and 53 Minutes,El-Manyal : Almanial main Street,From 62 Visitors
Internist,210 EGP,4.5,Waiting Time : 20 Minutes,El-Mansoura : kanat el swiss st,From 199 Visitors
Dentist,100 EGP,5,Waiting Time : 14 Minutes,Faisal,From 93 Visitors
Ophthalmologist,250 EGP,5,Waiting Time : 12 Minutes,Heliopolis : hegaz street,From 283 Visitors
Dermatologist,150 EGP,4.5,Waiting Time : 8 Minutes,10th of Ramadan : Ordinia St.,From 216 Visitors
ENT Doctor,400 EGP,4.5,Waiting Time : 1 Hour and 49 Minutes,6th of October,From 139 Visitors
Cardiologist,350 EGP,5,Waiting Time : 10 Minutes,Maadi Ring Road,From 7 Visitors
Gynecologist,300 EGP,4.5,Waiting Time : 22 Minutes,El-Maadi,From 76 Visitors
Ophthalmologist,250 EGP,5,Waiting Time : 7 Minutes,Nasr City : Mohamed Radwan ST _ Al Hay Al Asher,From 138 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,Heliopolis,From 60 Visitors
General Surgeon,200 EGP,4.5,Waiting Time : 25 Minutes,Shibin El-Kom,From 50 Visitors
Endocrinologist,300 EGP,4.5,Waiting Time : 22 Minutes,north teseen street,From 51 Visitors
Pediatrician,250 EGP,4.5,Waiting Time : 13 Minutes,Nasr City,From 10 Visitors
Surgical Oncologist,300 EGP,5,Waiting Time : 19 Minutes,El-Giza : mourad,From 20 Visitors
Cardiologist,400 EGP,5,Waiting Time : 8 Minutes,6th of October,From 240 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Gynecologist,500 EGP,4.5,Waiting Time : 10 Minutes,New Cairo : abdallah ibn salama,From 102 Visitors
Pediatrician,200 EGP,4.5,Waiting Time : 12 Minutes,Miamy,From 98 Visitors
Orthopedist,400 EGP,4.5,Waiting Time : 3 Hours and 27 Minutes,El-Maadi :  ElNasr,From 202 Visitors
Cardiologist,500 EGP,4.5,Waiting Time : 34 Minutes,El-Sheikh Zayed : Twin Towers-Elmehwar Elmarkazi,From 733 Visitors
Cardiologist,300 EGP,5,Waiting Time : 22 Minutes,El-Maadi : 4 street 100 from street 105 - Horria sq Maadi,From 475 Visitors
Dermatologist,400 EGP,4.5,Waiting Time : 44 Minutes,Faisal : king Faisal St -tamimi,From 1479 Visitors
General Surgeon,200 EGP,4.5,Waiting Time : 1 Hour,Bakos : Moastafa kamel,From 520 Visitors
Orthopedist,200 EGP,4.5,Waiting Time : 1 Hour and 4 Minutes,El-Haram,From 1263 Visitors
Orthopedist,300 EGP,4.5,Waiting Time : 16 Minutes,6th of October,From 1011 Visitors
ENT Doctor,400 EGP,4.5,Waiting Time : 1 Hour and 28 Minutes,Heliopolis : Triumph square (Nakhla moteey),From 672 Visitors
Pulmonologist,250 EGP,4.5,Waiting Time : 29 Minutes,El-Matareya : Beet El Ezz 2 building - Matareya square - Building A - Third floor,From 296 Visitors
Psychiatrist,800 EGP,4,Waiting Time : 1 Hour and 46 Minutes,Heliopolis : Esmail Ramzy Street,From 417 Visitors
Dermatologist,400 EGP,4.5,Waiting Time : 21 Minutes,El-Manyal : Manial,From 276 Visitors
Urologist,300 EGP,4.5,Waiting Time : 36 Minutes,El-Zaitoun : salim el-Awal st.,From 26 Visitors
Allergist,300 EGP,4.5,Waiting Time : 44 Minutes,Faisal : king faisal street,From 213 Visitors
Cardiologist,250 EGP,4.5,Waiting Time : 48 Minutes,El-Mohandessin : Omar Toson,From 92 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 12 Minutes,El-Obour City : Al Obour center,From 32 Visitors
Nutritionist,200 EGP,4.5,Waiting Time : 27 Minutes,Faisal,From 663 Visitors
Orthopedist,300 EGP,4.5,Waiting Time : 22 Minutes,Faisal : king faisal,From 497 Visitors
Oncologist,500 EGP,5,Waiting Time : 20 Minutes,El-Maadi : ElNasr,From 389 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Audiologist,300 EGP,4.5,Waiting Time : 18 Minutes,Faisal : fisal street,From 121 Visitors
Physiotherapist,200 EGP,4,Waiting Time : 15 Minutes,El-Maadi : street 287,From 56 Visitors
Dentist,150 EGP,4.5,Waiting Time : 10 Minutes,El-Mansoura,From 256 Visitors
Dentist,150 EGP,4.5,Waiting Time : 30 Minutes,Nasr City :  Mohamed Almakreif,From 206 Visitors
Dentist,300 EGP,4.5,Waiting Time : 10 Minutes,Madinaty : Medical Center,From 107 Visitors
Ophthalmologist,250 EGP,5,Waiting Time : 18 Minutes,Hadayek El-Kobba : Abdelgleel street from Ibn Sender,From 88 Visitors
Gynecologist,150 EGP,4.5,Waiting Time : 32 Minutes,El-Haram : Haram Street Nasr eldin Station,From 297 Visitors
Psychiatrist,300 EGP,4.5,Waiting Time : 28 Minutes,Victoria : Gamal Abdelnaser,From 157 Visitors
Dentist,100 EGP,4.5,Waiting Time : 14 Minutes,El-Haram : 93 el haram street - beside city mall,From 648 Visitors
Physiotherapist,200 EGP,4,Waiting Time : 21 Minutes,6th of October : Central Axis,From 151 Visitors
Physiotherapist,150 EGP,4.5,Waiting Time : 12 Minutes,El-Haram : madkour,From 186 Visitors
Dentist,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : Beverly Hills-gate 9,From 68 Visitors
Dentist,50 EGP,4.5,Waiting Time : 15 Minutes,Mahalla : El-shon,From 126 Visitors
Dentist,200 EGP,4.5,Waiting Time : 19 Minutes,El-Haram :  Salam,From 92 Visitors
Ophthalmologist,130 EGP,4.5,Waiting Time : 19 Minutes,Assiut city : Yusri Ragheb St.,From 189 Visitors
Dentist,200 EGP,4.5,Waiting Time : 8 Minutes,Nasr City : makram ebeid,From 96 Visitors
Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,Banha : el safaa,From 81 Visitors
General Surgeon,400 EGP,4.5,Waiting Time : 13 Minutes,El-Maadi : Al Nasr Street,From 161 Visitors
Gynecologist,300 EGP,5,Waiting Time : 1 Hour and 33 Minutes,El-Dokki : El Tahrir st.,From 113 Visitors
Dentist,350 EGP,4.5,Waiting Time : 9 Minutes,Nasr City : abo dawood zahry,From 114 Visitors
Dentist,300 EGP,4.5,Waiting Time : 13 Minutes,New Cairo : 90 Street,From 190 Visitors
Internist,400 EGP,4.5,Waiting Time : 17 Minutes,El-Mansoura : Al seka algdeda,From 48 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 21 Minutes,Imbaba : Main wehda street,From 60 Visitors
Nutritionist,350 EGP,5,Waiting Time : 8 Minutes,El-Sheikh Zayed,From 145 Visitors
ENT Doctor,150 EGP,4,Waiting Time : 32 Minutes,"Ain Shams : 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club",From 363 Visitors
Dentist,150 EGP,4.5,Waiting Time : 21 Minutes,Faisal : hassan mohamed station-Feisal,From 814 Visitors
Physiotherapist,75 EGP,4.5,Waiting Time : 14 Minutes,Shibin El-Kom : Abo Bakr Elsedeek,From 60 Visitors
Dentist,150 EGP,4,Waiting Time : 30 Minutes,Hadayek El-Ahram : 2nd gate khafra,From 237 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Internist,400 EGP,4.5,Waiting Time : 53 Minutes,El-Manyal : Saeed Tho Al fakar Street - branched from El basha square,From 847 Visitors
Vascular Surgeon,400 EGP,4.5,Waiting Time : 14 Minutes,6th of October : El Mehwar El Markazy,From 361 Visitors
Dentist,200 EGP,4.5,Waiting Time : 26 Minutes,Heliopolis :  Bridge,From 107 Visitors
ENT Doctor,400 EGP,4.5,Waiting Time : 9 Minutes,"El-Rehab : Rehab , medical centre 2 , clinic 109",From 511 Visitors
Cardiologist,600 EGP,4.5,Waiting Time : 32 Minutes,El-Sheikh Zayed : Twin Towers,From 188 Visitors
Internist,350 EGP,4.5,Waiting Time : 24 Minutes,Nasr City :  ahmed el zomor,From 220 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 34 Minutes,"El-Agamy : Kilometer 21 square,",From 143 Visitors
Pediatrician,400 EGP,4.5,Waiting Time : 12 Minutes,Nasr City : Mostafa nhas St,From 25 Visitors
ENT Doctor,250 EGP,4,Waiting Time : 23 Minutes,El-Mokattam : 9 S.t,From 173 Visitors
Plastic Surgeon,350 EGP,4.5,Waiting Time : 9 Minutes,"Sporting : Port Saeid St.,",From 22 Visitors
Oncologist,300 EGP,4.5,Waiting Time : 24 Minutes,El-Haram,From 229 Visitors
Dentist,250 EGP,4.5,Waiting Time : 11 Minutes,6th of October : omrania tanua,From 149 Visitors
Cardiologist,350 EGP,5,Waiting Time : 56 Minutes,West El-Balad :  Mohamed farid,From 300 Visitors
Cardiologist,200 EGP,4.5,Waiting Time : 56 Minutes,El-Agamy : Alrxandria- matrouh road,From 267 Visitors
Orthopedist,350 EGP,4.5,Waiting Time : 9 Minutes,Nasr City,From 277 Visitors
Urologist,400 EGP,4,Waiting Time : 23 Minutes,Heliopolis : bagdad st.,From 110 Visitors
Ophthalmologist,350 EGP,4.5,Waiting Time : 1 Hour and 20 Minutes,Nasr City : mostafa el nahhas street,From 1192 Visitors
Rheumatologist,300 EGP,4.5,Waiting Time : 10 Minutes,El-Zagazig : vilal gamaa street next to madina mosque,From 153 Visitors
Urologist,600 EGP,4,Waiting Time : 26 Minutes,El-Mohandessin :  shehab street,From 51 Visitors
Dermatologist,300 EGP,4.5,Waiting Time : 34 Minutes,El-Maadi :  El Horya Square,From 647 Visitors
Cardiologist,500 EGP,4.5,Waiting Time : 34 Minutes,El-Sheikh Zayed : Twin Towers-Elmehwar Elmarkazi,From 733 Visitors
Vascular Surgeon,400 EGP,4.5,Waiting Time : 11 Minutes,El-Manyal : El Manyal,From 69 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 12 Minutes,El-Obour City : Al Obour center,From 32 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Dentist,200 EGP,4.5,Waiting Time : 26 Minutes,Heliopolis :  Bridge,From 107 Visitors
Vascular Surgeon,300 EGP,4.5,Waiting Time : 37 Minutes,Faisal :  Faisal,From 275 Visitors
Internist,350 EGP,4.5,Waiting Time : 24 Minutes,Nasr City :  ahmed el zomor,From 220 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 34 Minutes,"El-Agamy : Kilometer 21 square,",From 143 Visitors
ENT Doctor,250 EGP,4,Waiting Time : 23 Minutes,El-Mokattam : 9 S.t,From 173 Visitors
Cardiologist,350 EGP,5,Waiting Time : 56 Minutes,West El-Balad :  Mohamed farid,From 300 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 44 Minutes,El-Obour City : Alsadat St.,From 685 Visitors
Psychiatrist,300 EGP,4,Waiting Time : 38 Minutes,El-Mansoura : Hussein bek street in front of family regulation office,From 54 Visitors
Pediatrician,200 EGP,4.5,Waiting Time : 12 Minutes,Miamy,From 98 Visitors
Orthopedist,200 EGP,4.5,Waiting Time : 22 Minutes,Faisal,From 901 Visitors
Gynecologist,500 EGP,4.5,Waiting Time : 10 Minutes,New Cairo : abdallah ibn salama,From 102 Visitors
Internist,300 EGP,4,Waiting Time : 7 Minutes,El-Rehab : el sadat axis-The corner mall,From 371 Visitors
Pediatrician,300 EGP,4.5,Waiting Time : 19 Minutes,New Cairo : 3rd block,From 307 Visitors
Psychiatrist,600 EGP,4,Waiting Time : 31 Minutes,trablous,From 258 Visitors
Andrologist,300 EGP,4.5,Waiting Time : 43 Minutes,6th of October : 4th District - 3rd Neighborhood,From 1002 Visitors
Orthopedist,200 EGP,4.5,Waiting Time : 34 Minutes,6th of October,From 480 Visitors
General Surgeon,150 EGP,4.5,Waiting Time : 46 Minutes,Shoubra El-Kheima : ElSharea ElGded,From 201 Visitors
Ophthalmologist,300 EGP,4.5,Waiting Time : 9 Minutes,New Cairo,From 478 Visitors
Neurologist,300 EGP,4.5,Waiting Time : 1 Hour and 22 Minutes,Shoubra El-Kheima : 15 may street across the new street,From 485 Visitors
Nutritionist,200 EGP,4.5,Waiting Time : 15 Minutes,El-Matareya : El horeya street,From 45 Visitors
Rheumatologist,400 EGP,4.5,Waiting Time : 10 Minutes,Nasr City : Gafar Elsadek st branched from eltayaran,From 165 Visitors
Internist,300 EGP,4.5,Waiting Time : 36 Minutes,El-Maadi : 77 St.,From 913 Visitors
Cardiologist,750 EGP,4.5,Waiting Time : 47 Minutes,Heliopolis,From 469 Visitors
Pediatrician,250 EGP,4.5,Waiting Time : 30 Minutes,Faisal : king  Faisal taawon,From 1109 Visitors
Andrologist,250 EGP,4.5,Waiting Time : 50 Minutes,Faisal,From 205 Visitors
Urologist,200 EGP,4.5,Waiting Time : 21 Minutes,Shoubra : 15 may street,From 125 Visitors
Nutritionist,100 EGP,4,Waiting Time : 8 Minutes,El-Mansheyah : Hamam El Warsha,From 120 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Hepatologist,300 EGP,4.5,Waiting Time : 28 Minutes,Faisal : Faisal,From 421 Visitors
Orthopedist,150 EGP,4.5,Waiting Time : 13 Minutes,Ain Shams,From 125 Visitors
Rheumatologist,250 EGP,4,Waiting Time : 15 Minutes,El-Haram :  Abo emera street,From 246 Visitors
Ophthalmologist,400 EGP,4.5,Waiting Time : 47 Minutes,El-Maadi : 153,From 364 Visitors
Physiotherapist,120 EGP,4,Waiting Time : 22 Minutes,El-Maadi : 9,From 125 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 44 Minutes,El-Obour City : Alsadat St.,From 685 Visitors
Psychiatrist,300 EGP,4,Waiting Time : 38 Minutes,El-Mansoura : Hussein bek street in front of family regulation office,From 54 Visitors
Ophthalmologist,150 EGP,5,Waiting Time : 29 Minutes,"Shoubra El-Kheima : 15 mayo"" ElshareEl gedidi """,From 317 Visitors
Gynecologist,200 EGP,4,Waiting Time : 14 Minutes,El-Ibrahimia,From 147 Visitors
Pediatrician,200 EGP,4.5,Waiting Time : 12 Minutes,Miamy,From 98 Visitors
Internist,300 EGP,4,Waiting Time : 7 Minutes,El-Rehab : el sadat axis-The corner mall,From 371 Visitors
Pediatrician,300 EGP,4.5,Waiting Time : 19 Minutes,New Cairo : 3rd block,From 307 Visitors
Oncologist,300 EGP,4.5,Waiting Time : 24 Minutes,El-Haram,From 229 Visitors
Orthopedist,400 EGP,4.5,Waiting Time : 3 Hours and 27 Minutes,El-Maadi :  ElNasr,From 202 Visitors
Nephrologist,400 EGP,5,Waiting Time : 35 Minutes,Faisal : Faisal street,From 361 Visitors
ENT Doctor,400 EGP,4.5,Waiting Time : 9 Minutes,"El-Rehab : Rehab , medical centre 2 , clinic 109",From 511 Visitors
Urologist,400 EGP,4,Waiting Time : 23 Minutes,Heliopolis : bagdad st.,From 110 Visitors
Plastic Surgeon,350 EGP,4.5,Waiting Time : 9 Minutes,"Sporting : Port Saeid St.,",From 22 Visitors
Vascular Surgeon,400 EGP,4.5,Waiting Time : 14 Minutes,6th of October : El Mehwar El Markazy,From 361 Visitors
Cardiologist,600 EGP,4.5,Waiting Time : 32 Minutes,El-Sheikh Zayed : Twin Towers,From 188 Visitors
ENT Doctor,320 EGP,4.5,Waiting Time : 29 Minutes,El-Mohandessin,From 1028 Visitors
Cardiologist,750 EGP,4.5,Waiting Time : 47 Minutes,Heliopolis,From 469 Visitors
Dentist,200 EGP,4.5,Waiting Time : 26 Minutes,Heliopolis :  Bridge,From 107 Visitors
Psychiatrist,400 EGP,4.5,Waiting Time : 21 Minutes,Hadayek El-Kobba : Masr El-Soadan,From 159 Visitors
Internist,350 EGP,4.5,Waiting Time : 22 Minutes,El-Maadi : algazerr,From 1538 Visitors
Ophthalmologist,300 EGP,4.5,Waiting Time : 9 Minutes,New Cairo,From 478 Visitors
Pediatrician,250 EGP,4.5,Waiting Time : 30 Minutes,Faisal : king  Faisal taawon,From 1109 Visitors
Vascular Surgeon,300 EGP,4.5,Waiting Time : 37 Minutes,Faisal :  Faisal,From 275 Visitors
Ophthalmologist,350 EGP,4.5,Waiting Time : 1 Hour and 20 Minutes,Nasr City : mostafa el nahhas street,From 1192 Visitors
Internist,350 EGP,4.5,Waiting Time : 24 Minutes,Nasr City :  ahmed el zomor,From 220 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
ENT Doctor,200 EGP,4,Waiting Time : 20 Minutes,Faisal,From 636 Visitors
Neurologist,300 EGP,4.5,Waiting Time : 1 Hour and 1 Minute,El-Abbasia : Abdou Pacha Sq.,From 702 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 50 Minutes,6th of October : the central axis,From 835 Visitors
Ophthalmologist,400 EGP,4.5,Waiting Time : 47 Minutes,El-Maadi : 153,From 364 Visitors
Internist,150 EGP,4.5,Waiting Time : 1 Hour and 16 Minutes,El-Mandara : Mohamed Hassanin Hiekel,From 903 Visitors
Hepatologist,300 EGP,4.5,Waiting Time : 28 Minutes,Faisal : Faisal,From 421 Visitors
Orthopedist,200 EGP,5,Waiting Time : 34 Minutes,Sidy Gaber : Elhoreia,From 645 Visitors
Gynecologist,250 EGP,4.5,Waiting Time : 11 Minutes,El-Sheikh Zayed : Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone,From 74 Visitors
Gastroenterologist,200 EGP,5,Waiting Time : 18 Minutes,Ain Shams,From 505 Visitors
Urologist,100 EGP,4.5,Waiting Time : 47 Minutes,El-Marg : Ahmed sediq,From 317 Visitors
Gastroenterologist,300 EGP,4.5,Waiting Time : 1 Hour and 33 Minutes,Sidy Gaber : Portsaif,From 649 Visitors
Neurologist,150 EGP,4,Waiting Time : 31 Minutes,El-Haram : Terat Al Zomir Street,From 1017 Visitors
ENT Doctor,300 EGP,4.5,Waiting Time : 16 Minutes,El-Maadi,From 772 Visitors
Orthopedist,150 EGP,4.5,Waiting Time : 13 Minutes,Ain Shams,From 125 Visitors
Dermatologist,400 EGP,4.5,Waiting Time : 17 Minutes,6th of October : elmahwar el markazi,From 1284 Visitors
Rheumatologist,250 EGP,4,Waiting Time : 15 Minutes,El-Haram :  Abo emera street,From 246 Visitors
Pulmonologist,300 EGP,4.5,Waiting Time : 28 Minutes,El-Haram : Al Haram street -,From 1294 Visitors
Gynecologist,450 EGP,4.5,Waiting Time : 31 Minutes,"El-Rehab : Medical center 2 ,  El Rehab City",From 827 Visitors
Gastroenterologist,400 EGP,4.5,Waiting Time : 12 Minutes,El-Giza : el gamaa Street,From 49 Visitors
Internist,150 EGP,4.5,Waiting Time : 1 Hour,El-Haram : El haram St.,From 1512 Visitors
Psychiatrist,300 EGP,4.5,Waiting Time : 26 Minutes,El-Haram : Naser althora,From 383 Visitors
Gynecologist,150 EGP,4.5,Waiting Time : 23 Minutes,El-Rehab : medical park elite next to city square,From 105 Visitors
Pulmonologist,400 EGP,4,Waiting Time : 20 Minutes,El-Maadi,From 1042 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 32 Minutes,6th of October : 71 fadan,From 524 Visitors
ENT Doctor,400 EGP,4.5,Waiting Time : 9 Minutes,"El-Rehab : Rehab , medical centre 2 , clinic 109",From 511 Visitors
Urologist,400 EGP,4,Waiting Time : 23 Minutes,Heliopolis : bagdad st.,From 110 Visitors
Dermatologist,300 EGP,4.5,Waiting Time : 38 Minutes,Heliopolis : El Merghany,From 925 Visitors
Cardiologist,600 EGP,4.5,Waiting Time : 32 Minutes,El-Sheikh Zayed : Twin Towers,From 188 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Physiotherapist,200 EGP,5,Waiting Time : 5 Minutes,Heliopolis : abu bakr el sedeek saffir sqaure,From 208 Visitors
Plastic Surgeon,400 EGP,4,Waiting Time : 11 Minutes,El-Ibrahimia : abokeir road,From 123 Visitors
General Surgeon,200 EGP,4.5,Waiting Time : 10 Minutes,Faisal,From 493 Visitors
Internist,350 EGP,4,Waiting Time : 19 Minutes,Heliopolis,From 449 Visitors
Dentist,200 EGP,4.5,Waiting Time : 14 Minutes,"8th district, Above Ragab's Sons s market - mall five stars 2 new floor",From 640 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 11 Minutes,Nasr City : ahmed elzomr,From 27 Visitors
